Category number,Token number,Angular fragments,Rounded fragments,Straight stripes,Curved stripes,Physical layers,Veins,Oily/shimmery texture,Splotchy texture,Single translucent crystal,Multiple cubic crystals,Sandy texture
1,1,0.20,0.15,0.00,0.0,0.0,0.05,0.0,0.3,0.0,0.0,0.1
1,2,0.65,0.15,0.00,0.0,0.05,0.0,0.0,0.1,0.0,0.05,0.05
1,3,0.60,0.00,0.00,0.0,0.05,0.0,0.0,0.35,0.0,0.0,0.05
1,4,0.10,0.85,0.00,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.1
1,5,0.35,0.80,0.00,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05
1,6,0.40,0.25,0.00,0.0,0.0,0.0,0.05,0.25,0.0,0.0,0.05
1,7,0.65,0.50,0.00,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05
1,8,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2
1,9,0.35,0.30,0.00,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.05
1,10,0.30,0.20,0.00,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.1
1,11,0.80,0.05,0.00,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.15
1,12,0.50,0.15,0.00,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.25
1,13,0.30,0.35,0.00,0.0,0.0,0.05,0.0,0.2,0.0,0.0,0.0
1,14,0.55,0.40,0.00,0.0,0.05,0.05,0.0,0.25,0.0,0.0,0.05
1,15,0.35,0.15,0.00,0.0,0.0,0.05,0.0,0.4,0.0,0.0,0.05
1,16,0.20,0.90,0.00,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05
1,1,0.00,0.00,0.00,0.0,0.35,0.05,0.0,0.0,0.0,0.0,0.2
1,2,0.00,0.00,0.00,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.1
1,3,0.20,0.05,0.00,0.0,0.25,0.0,0.0,0.2,0.0,0.0,0.15
1,4,0.00,0.00,0.00,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25
1,5,0.00,0.00,0.00,0.0,0.35,0.0,0.0,0.05,0.0,0.0,0.15
1,6,0.00,0.00,0.00,0.0,0.15,0.15,0.0,0.1,0.0,0.0,0.1
1,7,0.00,0.05,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
1,8,0.00,0.00,0.00,0.0,0.35,0.05,0.0,0.0,0.0,0.0,0.15
1,9,0.00,0.00,0.00,0.0,0.15,0.0,0.0,0.05,0.0,0.0,0.25
1,10,0.00,0.00,0.00,0.0,0.2,0.05,0.05,0.05,0.0,0.0,0.2
1,11,0.00,0.00,0.00,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.25
1,12,0.00,0.10,0.00,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.2
1,13,0.00,0.00,0.00,0.0,0.15,0.0,0.0,0.2,0.0,0.0,0.1
1,14,0.00,0.00,0.00,0.05,0.1,0.0,0.05,0.05,0.0,0.0,0.2
1,15,0.00,0.00,0.00,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.35
1,16,0.00,0.00,0.00,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7
1,1,0.00,0.05,0.00,0.0,0.05,0.0,0.1,0.35,0.0,0.0,0.05
1,2,0.05,0.05,0.00,0.0,0.0,0.05,0.0,0.35,0.0,0.0,0.0
1,3,0.05,0.00,0.00,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.05
1,4,0.15,0.00,0.00,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.05
1,5,0.00,0.10,0.00,0.0,0.05,0.0,0.0,0.25,0.0,0.0,0.1
1,6,0.05,0.00,0.00,0.0,0.0,0.0,0.0,0.4,0.0,0.05,0.0
1,7,0.25,0.10,0.00,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0
1,8,0.10,0.15,0.00,0.0,0.0,0.0,0.0,0.35,0.0,0.05,0.05
1,9,0.15,0.20,0.00,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.05
